LONGITUD_MAN,LATITUD_MAN,ESTRATO_P,PATRIMONIO,Urbanizaci,MANCHA_URB,PISO_R,Mixto,NP_USO,Residencial,Apartamento,Casa,NP_VIV,Concreto,Madera,Mamposteria,NP_PARED,Prefabricado,Baldosa,Cemento,Marmol/parque/madera pulida,NP_PISO,Tierra
-74.8097864,10.92064233,3.0,0,0,2000,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7877741,10.92232558,1.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7779756,10.90403632,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7847288,10.92570281,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7870404,10.92284962,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8022559,10.92141632,2.0,0,0,2005,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7953708,10.90064022,1.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.8061383,10.91131941,1.5,0,0,2010,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7664274,10.93501598,2.0,0,0,1995,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7799422,10.91086784,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8081727,10.9207268,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7691985,10.9264876,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7693826,10.93993451,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7725629,10.94348336,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.8003912,10.91951207,2.0,0,0,2005,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7871447,10.90335535,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8052561,10.91495064,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7943033,10.90587857,1.0,0,0,2010,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7894533,10.90350059,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7717963,10.92939875,2.0,0,0,1985,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.800871,10.91133181,2.0,0,0,2000,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7937592,10.91209981,2.0,0,1,2005,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7868018,10.90626775,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.762865,10.91538411,1.5,1,0,1985,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7838576,10.91316254,1.5,0,1,2000,4.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
-74.7860884,10.93356509,2.0,0,0,2000,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7694595,10.91694674,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7669067,10.92767204,1.5,0,0,1985,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.786987,10.90142762,1.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7657767,10.91831903,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7809151,10.91063912,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.773202,10.93693478,2.0,0,0,1995,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8081183,10.91693237,1.5,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7772653,10.90527864,1.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8130048,10.92077577,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7681631,10.92411177,2.0,0,0,1985,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8179203,10.91891973,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7942316,10.92471936,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7824273,10.89951552,1.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7920674,10.90110244,1.5,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7789237,10.9087698,1.5,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7866294,10.90475626,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7698873,10.93282159,2.0,0,0,1990,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7864712,10.9044908,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7816242,10.90095673,1.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7668914,10.91530834,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7717991,10.91273846,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7699961,10.89052325,1.0,0,0,2010,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7687615,10.92884339,1.5,0,0,1985,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.799978,10.89135701,1.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7777783,10.93404944,1.5,0,0,1995,2.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.8084049,10.91814025,1.0,0,0,2000,2.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.782561,10.89852065,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8064771,10.88547201,1.5,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7880647,10.90726293,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8003704,10.90232067,2.0,0,0,2010,2.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7928892,10.90409545,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8134614,10.91626364,2.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7652227,10.92490265,2.0,0,0,1985,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7879776,10.92154165,2.0,0,0,2000,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8011297,10.91140528,1.5,0,0,2000,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7965176,10.91273244,2.0,0,1,2005,2.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
-74.784108,10.9125194,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7683717,10.91573791,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.8038332,10.90786482,3.0,0,1,2020,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7814828,10.90373979,1.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.8103057,10.89089399,1.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.8010816,10.91437716,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.814464,10.92057343,1.5,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7775537,10.93623949,2.0,0,0,1995,1.5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8069086,10.8859348,1.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7755189,10.94070565,3.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7645446,10.92355602,1.5,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7707649,10.91086568,1.0,0,0,1990,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7918162,10.93061355,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7967078,10.92098347,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8142178,10.921615,2.0,0,0,2005,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8069035,10.91243104,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8171988,10.9200075,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8026063,10.9206248,2.0,0,0,2005,2.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
-74.7855576,10.89768162,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7833725,10.91080681,1.5,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.767407,10.93487106,2.0,0,0,1990,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.767616,10.92288245,2.0,0,0,1985,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8062115,10.89859834,1.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
